CID_senyawa,Protein
5291,HCK_HUMAN
5291,HDAC1_HUMAN
5291,HDAC6_HUMAN
5291,IGF1R_HUMAN
5291,IKKE_HUMAN
5291,INSR_HUMAN
5291,ITK_HUMAN
5291,JAK2_HUMAN
5291,JAK3_HUMAN
5291,KAPCA_HUMAN
5291,KAPCB_HUMAN
5291,KC1G2_HUMAN
5291,KIT_HUMAN
5291,KPCA_HUMAN
5291,KPCD1_HUMAN
5291,KPCE_HUMAN
5291,KPCT_HUMAN
5291,KS6A5_HUMAN
5291,KSYK_HUMAN
5291,LCK_HUMAN
5291,MAPK2_HUMAN
5291,MDR1_HUMAN
5291,MET_HUMAN
5291,MK01_HUMAN
5291,MK03_HUMAN
5291,MK10_HUMAN
5291,MK12_HUMAN
5291,MK14_HUMAN
5291,MP2K1_HUMAN
5291,MP2K2_HUMAN
5291,MP2K4_HUMAN
5291,NTRK1_HUMAN
5291,NU214_HUMAN
5291,O43519_HUMAN
5291,PDPK1_HUMAN
5291,PGFRA_HUMAN
5291,PGFRB_HUMAN
5291,PIM1_HUMAN
5291,PK3C3_HUMAN
5291,PK3CA_HUMAN
5291,PLK1_HUMAN
5291,PRKDC_HUMAN
5291,Q12843_HUMAN
5291,Q12844_HUMAN
5291,Q13688_HUMAN
5291,Q13689_HUMAN
5291,Q13691_HUMAN
5291,Q13746_HUMAN
5291,Q13914_HUMAN
5291,Q13915_HUMAN
5291,Q14708_HUMAN
5291,Q14709_HUMAN
5291,Q59F04_HUMAN
5291,Q59F19_HUMAN
5291,Q59FK4_HUMAN
5291,KIT_HUMAN
5291,PGFRA_HUMAN
5291,Q6QJE4_HUMAN
5291,Q7Z3C4_HUMAN
5291,Q8TCG9_HUMAN
5291,KIT_HUMAN
5291,Q9P071_HUMAN
5291,Q9UME7_HUMAN
5291,RET_HUMAN
5291,RIPK1_HUMAN
5291,SRC_HUMAN
5291,AURKA_HUMAN
5291,TBA1A_HUMAN
5291,TGFR2_HUMAN
5291,TYRO3_HUMAN
5291,VGFR1_HUMAN
5291,VGFR2_HUMAN
5291,VGFR3_HUMAN
5291,WEE1_HUMAN
5291,YES_HUMAN
145743,PPIC_HUMAN
145744,PPIH_HUMAN
492405,YP_009725307.1
37542,YP_009725307.1
135398748,YP_009725307.1
121304016,YP_009725307.1
10445549,YP_009725307.1
135413535,YP_009725307.1
9552079,YP_009725307.1
5282242,YP_009725307.1
3343,YP_009725307.1
657237,YP_009725307.1
3793,YP_009725307.1
5479529,YP_009725307.1
74989,YP_009725307.1
10133,YP_009725307.1
2882,YP_009725307.1
27350,YP_009725307.1
222786,YP_009725307.1
444008,YP_009725307.1
54675769,YP_009725307.1
31553,YP_009725307.1
42890,YP_009725307.1
31101,YP_009725307.1
13505,YP_009725307.1
119212,YP_009725307.1
135565674,YP_009725307.1
2719,YP_009725307.1
64646,YP_009725307.1
4725,YP_009725307.1
3117,K4LC41_9BETC
92727,K4LC41_9BETC
392622,K4LC41_9BETC
37542,K4LC41_9BETC
135413535,K4LC41_9BETC
5789,K4LC41_9BETC
493570,K4LC41_9BETC
25654,K4LC41_9BETC
5959,K4LC41_9BETC
54671203,K4LC41_9BETC
3736,K4LC41_9BETC
65859,K4LC41_9BETC
5790,K4LC41_9BETC
54686904,K4LC41_9BETC
124886,K4LC41_9BETC
34755,K4LC41_9BETC
71398,K4LC41_9BETC
5282379,K4LC41_9BETC
6914273,K4LC41_9BETC
5339,K4LC41_9BETC
3117,PLpro_SARS-CoV-2
92727,PLpro_SARS-CoV-2
392622,PLpro_SARS-CoV-2
37542,PLpro_SARS-CoV-2
135413535,PLpro_SARS-CoV-2
5789,PLpro_SARS-CoV-2
493570,PLpro_SARS-CoV-2
25654,PLpro_SARS-CoV-2
5959,PLpro_SARS-CoV-2
54671203,PLpro_SARS-CoV-2
3736,PLpro_SARS-CoV-2
65859,PLpro_SARS-CoV-2
5790,PLpro_SARS-CoV-2
54686904,PLpro_SARS-CoV-2
124886,PLpro_SARS-CoV-2
34755,PLpro_SARS-CoV-2
71398,PLpro_SARS-CoV-2
5282379,PLpro_SARS-CoV-2
6914273,PLpro_SARS-CoV-2
5339,PLpro_SARS-CoV-2
92727,6LU7:A
392622,6LU7:A
213039,6LU7:A
25151504,6LU7:A
64143,6LU7:A
5362440,6LU7:A
148192,6LU7:A
441243,6LU7:A
54682461,6LU7:A
65016,6LU7:A
131536,6LU7:A
54707177,6LU7:A
9552079,6LU7:A
2092,6LU7:A
6435415,6LU7:A
5702160,6LU7:A
33887,6LU7:A
44115,6LU7:A
151075,6LU7:A
2585,6LU7:A
54686904,6LU7:A
54680690,6LU7:A
5281040,6LU7:A
3862,6LU7:A
643976,6LU7:A
5281243,6LU7:A
636405,6LU7:A
272833,6LU7:A
5362417,6LU7:A
4474,6LU7:A
13791,6LU7:A
4829,6LU7:A
151171,6LU7:A
65999,6LU7:A
54671203,6LU7:A
54675779,6LU7:A
92727,6LU7:C
392622,6LU7:C
213039,6LU7:C
25151504,6LU7:C
64143,6LU7:C
5362440,6LU7:C
148192,6LU7:C
441243,6LU7:C
54682461,6LU7:C
65016,6LU7:C
131536,6LU7:C
54707177,6LU7:C
9552079,6LU7:C
2092,6LU7:C
6435415,6LU7:C
5702160,6LU7:C
33887,6LU7:C
44115,6LU7:C
151075,6LU7:C
2585,6LU7:C
54686904,6LU7:C
54680690,6LU7:C
5281040,6LU7:C
3862,6LU7:C
643976,6LU7:C
5281243,6LU7:C
636405,6LU7:C
272833,6LU7:C
5362417,6LU7:C
4474,6LU7:C
13791,6LU7:C
4829,6LU7:C
151171,6LU7:C
65999,6LU7:C
54671203,6LU7:C
54675779,6LU7:C
4413,6M0J:A
4413,6M0J:E
4413,6LZG:A
4413,6VXX:A
4413,6VSB:A
49846982,IL6RB_HUMAN
